Index,aa,ab,ac,Yh,Yi,Yj,ERM Classification,Correct
5,0.25717778,-0.02328523,-0.014653762,0.27115145,-0.72000927,0.27680104,5,True
5,0.28602671,-0.013163359,-0.11908252,0.92059323,-0.69809082,0.28134292,5,True
5,0.27548482,-0.02605042,-0.11815167,0.14506843,-0.70277146,0.28008303,5,True
5,0.27029822,-0.032613869,-0.11752018,0.29640709,-0.69895383,0.28411379,5,True
5,0.27483295,-0.027847788,-0.12952716,-0.11854473,-0.69224496,0.29072202,5,True
5,0.27921995,-0.018620399,-0.11390197,-0.072216361,-0.68981607,0.29489576,5,True
5,0.27974586,-0.018271026,-0.10399988,-0.33377136,-0.6900849,0.29528184,5,True
5,0.27460055,-0.02503513,-0.11683085,-0.36667425,-0.68878544,0.29598103,5,True
5,0.27252874,-0.020954013,-0.11447249,0.087319873,-0.68539006,0.29939413,5,True
5,0.2757457,-0.010371994,-0.09977589,0.34314576,-0.68410997,0.30082171,5,True
5,0.27859589,-0.015231928,-0.098908415,-0.28530777,-0.68601293,0.29847844,5,True
5,0.27915178,-0.021879444,-0.10973077,-0.25871135,-0.68570989,0.29768742,5,True
5,0.27454383,-0.023145294,-0.1125396,-0.15772314,-0.68361865,0.29940116,5,True
5,0.26906631,-0.027685967,-0.11017794,0.64856115,-0.68050255,0.30228943,5,True
5,0.27557925,-0.018936424,-0.097409776,0.39735012,-0.67494352,0.30635075,5,True
5,0.28193083,-0.004880615,-0.086106145,0.89028948,-0.67294828,0.30646033,5,True
5,0.31107792,-0.019430625,-0.10186634,-0.75615169,-0.59169013,0.37925791,1,False
5,0.26232825,-0.023257054,-0.12552494,0.40248687,-0.598653,0.37409474,5,True
5,0.28841575,-0.003485395,-0.083827858,0.39675833,-0.59475516,0.37713126,5,True
5,0.27116593,-0.025972908,-0.094923481,0.13118706,-0.6014156,0.37197819,5,True
5,0.25309467,-0.044192268,-0.13929762,0.44522267,-0.59547026,0.37591329,5,True
5,0.27133883,-0.029954058,-0.11859533,0.20811878,-0.57942588,0.38769496,5,True
5,0.29926682,0.011798517,-0.031653276,-0.70067134,-0.57360437,0.39173059,5,True
5,0.29389749,0.01115091,-0.069281198,-0.52483359,-0.58763766,0.37984261,5,True
5,0.27563911,-0.015565524,-0.1254582,-0.33338202,-0.60152966,0.36830468,5,True
5,0.27225459,-0.025051205,-0.13318432,0.21627788,-0.60405909,0.36732106,5,True
5,0.27642711,-0.026277565,-0.12694133,0.18688596,-0.60017709,0.37119548,5,True
5,0.28016952,-0.014362437,-0.10047145,-0.37552864,-0.5966253,0.37429781,5,True
5,0.27746102,-0.01584543,-0.10639347,0.71100528,-0.59776122,0.37329644,5,True
5,0.28837469,-0.0085476599,-0.10705876,-0.045326673,-0.59891206,0.3724099,5,True
5,0.28590496,-0.0077447295,-0.10273652,0.79985543,-0.60420037,0.3686363,5,True
4,0.29648714,-0.014684879,-0.13980848,0.045572017,-0.80660067,0.17074661,5,False
4,0.27723542,-0.025677001,-0.11843072,-0.62746994,-0.81589732,0.16648313,5,False
4,0.2782907,-0.014536086,-0.10524253,-0.10682861,-0.81653306,0.17052513,5,False
4,0.27815992,-0.0076678258,-0.09927102,-0.18385491,-0.81630166,0.16876519,5,False
4,0.27664638,-0.0049748937,-0.104754,-0.0017227258,-0.81710909,0.1646853,5,False
4,0.27829493,-0.022664347,-0.11591945,0.31521839,-0.81923121,0.16099192,5,False
4,0.27505303,-0.024059404,-0.10589705,0.015917332,-0.81914,0.16286024,5,False
4,0.27486428,-0.01561837,-0.097528302,-0.21101539,-0.81603304,0.16543267,5,False
4,0.27871074,-0.016793927,-0.10524076,0.28605429,-0.81328296,0.16529709,5,False
4,0.27822455,-0.016181738,-0.1075716,0.10810914,-0.81246328,0.16489585,5,False
4,0.27625455,-0.016985093,-0.10885324,-0.4149203,-0.81236543,0.16457484,5,False
4,0.27574674,-0.015388072,-0.10505767,-0.38206323,-0.81252335,0.16448246,5,False
4,0.28028279,-0.019175262,-0.10932156,0.5776093,-0.81224359,0.16398324,5,False
4,0.28540286,0.002355779,-0.16984868,-0.36666178,-0.86162564,0.18373087,5,False
4,0.27047249,-0.0089373643,-0.095150167,-0.47839569,-0.87494844,0.18022531,5,False
4,0.28022445,-0.028037933,-0.12428498,-0.6423294,-0.87880243,0.17643031,5,False
4,0.27724091,-0.01767369,-0.12039377,-0.47598235,-0.87512052,0.18039514,5,False
4,0.27925474,-0.012044574,-0.11526539,0.31159958,-0.87653614,0.18027308,5,False
4,0.27981772,-0.010396061,-0.11320248,0.58931782,-0.88076754,0.17762187,5,False
4,0.27579491,-0.034804666,-0.10983325,-0.22950029,-0.88272488,0.17667629,5,False
4,0.27379132,-0.041945691,-0.10724671,-0.11005732,-0.87182359,0.18459864,5,False
4,0.27609539,-0.018046144,-0.11243656,-0.10056033,-0.85885017,0.19371662,5,False
4,0.27767523,-0.012379484,-0.10466656,0.1087988,-0.85840806,0.19422446,5,False
4,0.27679437,-0.017846957,-0.099866917,-0.17887633,-0.86065314,0.1924314,5,False
6,0.17376905,-0.024869125,-0.094733441,-0.16943374,0.75146504,-0.48492763,6,True
6,0.3009048,-0.023610414,-0.096890735,-0.081150432,0.77405349,-0.4777379,6,True
6,0.28567994,-0.021402652,-0.099788959,-0.0071862295,0.76922237,-0.47454684,6,True
6,0.27205902,-0.021271356,-0.10063642,-0.55762375,0.76736275,-0.47179748,6,True
6,0.27631974,-0.017844672,-0.10385552,-0.56240464,0.7684684,-0.46910421,6,True
6,0.27869543,-0.017640511,-0.10511841,0.26281052,0.76850983,-0.46801997,6,True
6,0.28026202,-0.018697516,-0.10968549,0.011929481,0.76823087,-0.46745477,6,True
6,0.29238966,-0.014798532,-0.11487816,-0.013472926,0.76745833,-0.46760962,6,True
6,0.29089459,-0.012652477,-0.11315576,0.22483415,0.76371827,-0.46991662,6,True
6,0.27191593,-0.019731212,-0.10278027,0.21248101,0.76080887,-0.47193093,6,True
6,0.29301384,-0.01607838,-0.11018298,0.086091931,0.7616483,-0.47023905,6,True
6,0.33999093,-0.039323711,-0.11380871,0.17355666,0.67364632,-0.54259223,6,True
6,0.32773332,-0.012972104,-0.10934048,0.084944989,0.66836481,-0.53710455,6,True
6,0.26238254,-0.020021626,-0.099674861,-0.00060318456,0.65379537,-0.53937363,6,True
6,0.29490692,-0.017273605,-0.10855348,-0.054484316,0.65621855,-0.53717273,6,True
6,0.2673108,-0.017739291,-0.10418492,-0.3527364,0.65358538,-0.53700498,6,True
6,0.29493279,-0.018148994,-0.10870259,-0.24504102,0.654469,-0.53621417,6,True
6,0.2843065,-0.017380345,-0.10824585,0.27335778,0.65047121,-0.53617578,6,True
6,0.27747775,-0.017918468,-0.10552646,-0.22385849,0.6494678,-0.53596492,6,True
6,0.31454279,-0.015639484,-0.11205392,0.030042689,0.64840726,-0.53542605,6,True
6,0.27616038,-0.018258159,-0.10492036,0.20735324,0.64027736,-0.53656732,6,True
6,0.27628845,-0.020230299,-0.099639409,-0.014367619,0.64031892,-0.5355095,6,True
6,0.323685,-0.015714002,-0.11094539,0.073387644,0.6391272,-0.53330725,6,True
6,0.27524826,-0.016467107,-0.11215011,0.2985171,0.62931891,-0.53444084,6,True
1,0.20396243,-0.03234452,-0.096881229,-0.31169307,-0.67569317,0.32198559,1,True
1,0.24934321,-0.003410981,-0.056041574,-0.42187493,-0.67000918,0.32572865,1,True
1,0.32505052,-0.029803725,-0.077847175,-0.40963311,-0.67110087,0.32474698,1,True
1,0.30880812,-0.022128064,-0.13210431,-0.60394881,-0.67190374,0.3243482,1,True
1,0.26559921,-0.015936305,-0.12074953,-0.11192073,-0.6763907,0.32143809,5,False
1,0.18741915,-0.011533248,-0.10650963,-0.47569479,-0.67821154,0.320067,1,True
1,0.28420274,0.013704674,-0.11395407,0.72378516,-0.67180167,0.3243839,5,False
1,0.35782982,-0.013519015,-0.13127164,0.47084299,-0.67476577,0.3224511,1,True
1,0.31870911,-0.037635508,-0.13241984,0.26967653,-0.68260583,0.31707862,1,True
1,0.32008469,-0.010838647,-0.12170815,0.54728109,-0.68161979,0.31775112,1,True
1,0.19317016,-0.010586551,-0.088769599,-0.47708248,-0.68590157,0.31482938,1,True
1,0.19471487,-0.020176701,-0.049544661,-0.6466832,-0.68485322,0.3154051,1,True
1,0.34969095,-0.030496088,-0.10829783,-0.56846171,-0.67666371,0.32096711,1,True
1,0.30870458,-0.024987159,-0.1238269,-0.20754024,-0.67896871,0.31957105,1,True
1,0.21102476,-0.00058166814,-0.096443768,0.296776,-0.6837842,0.31609249,1,True
1,0.29771925,-0.020939986,-0.11438786,-0.07884774,-0.67646912,0.32158558,5,False
1,0.33314426,-0.043446917,-0.12619938,0.20119307,-0.67014878,0.32592759,1,True
1,0.22981714,-0.0026481752,-0.082070626,0.14285511,-0.66527942,0.32915689,1,True
1,0.23748279,0.0021969913,-0.048945315,-0.88461746,-0.67348632,0.32312976,1,True
1,0.33150518,-0.036584496,-0.10886677,-0.91395134,-0.67767153,0.3199402,1,True
1,0.26663115,-0.043309471,-0.14096216,-0.15595565,-0.67399649,0.3228076,5,False
1,0.24042087,0.0010854188,-0.11888144,0.47905143,-0.67087681,0.32519581,1,True
1,0.29112809,0.015567293,-0.10429218,0.82463356,-0.67413485,0.32295709,5,False
1,0.35552927,-0.023789742,-0.12723972,0.52261454,-0.67514974,0.32222961,1,True
1,0.28744253,-0.050273681,-0.13274829,-0.37048618,-0.67538005,0.32205994,1,True
1,0.1844141,-0.014817877,-0.089991964,-0.265758,-0.67010234,0.32573161,1,True
1,0.25204831,-0.00060425372,-0.070452518,-0.52005619,-0.66633437,0.32828942,1,True
1,0.33806106,-0.0413713,-0.097384161,-0.93271534,-0.6694826,0.32610596,1,True
1,0.29030031,-0.044250443,-0.12549008,-0.51824922,-0.66503453,0.32929838,1,True
1,0.26086953,-0.015550952,-0.12094838,-0.69229557,-0.6596739,0.33304734,5,False
3,0.39276304,-0.059173884,-0.11092832,-0.48732279,-0.66408624,0.32981976,3,True
3,0.33322745,-0.024943465,-0.15891904,0.33542189,-0.65415376,0.33682598,1,False
3,0.31615359,0.0012773598,-0.06545266,0.3556996,-0.65809023,0.3343425,5,False
3,0.15366105,-0.010077719,-0.043894838,-0.1683447,-0.67627143,0.32173046,2,False
3,0.071035289,-0.015656183,-0.094263452,-0.42931886,-0.67460328,0.32281328,3,True
3,0.33304231,-0.01019258,-0.1220055,0.8445326,-0.66515912,0.32939676,1,False
3,0.27579996,0.0018368697,-0.13628781,-0.25399207,-0.67325704,0.32386557,5,False
3,0.27138623,-0.042483426,-0.12821114,-0.50783944,-0.67661019,0.32150172,5,False
3,0.42604818,-0.058615109,-0.1170689,0.69399447,-0.67039855,0.3258373,2,False
3,0.2856233,-0.0060363793,-0.19809731,-0.36177393,-0.61407033,0.30981341,2,False
3,0.35480453,-0.018153403,-0.14403353,-0.12920316,-0.6055727,0.30394462,1,False
3,0.39558207,-0.012193647,-0.14801867,0.52150485,-0.61045315,0.30008317,2,False
3,0.22715659,-0.022146672,-0.14521449,-0.55192921,-0.61278633,0.29978027,1,False
3,0.23483919,0.0081011057,-0.14108314,-0.39978254,-0.59657412,0.30837078,2,False
3,0.23820197,-0.0026928807,-0.12149269,-0.15295231,-0.59277255,0.30394886,1,False
3,0.27873663,-0.048279124,-0.12092488,-0.55062079,-0.58264552,0.30354333,1,False
3,0.26374279,-0.02958616,-0.050708835,0.43094323,-0.56884495,0.31095705,2,False
3,0.30133385,-0.056094277,-0.078006249,-0.15182538,-0.49125696,0.27311583,2,False
3,0.28026398,0.0060423653,-0.12786457,0.62058086,-0.49524857,0.27488244,2,False
3,0.24393099,-0.0040036613,-0.12267616,-0.50404064,-0.49626633,0.26866093,2,False
3,0.28433754,0.013821312,-0.05753308,0.0045205023,-0.49644188,0.27252586,2,False
3,0.41085939,-0.024854391,-0.14898719,0.15829034,-0.51218337,0.27015401,2,False
3,0.17766532,-0.070310559,-0.13630828,-0.5073194,-0.51242655,0.26236983,2,False
3,0.20574701,-0.00517762,-0.10548391,0.28072187,-0.48617162,0.27497412,2,False
2,0.25186651,-0.030378942,-0.3516297,-0.64884531,-0.60615195,0.36834089,2,True
2,0.20906379,-0.049359552,-0.31450384,-0.65922785,-0.56607456,0.38013757,2,True
2,0.23655703,-0.0061942794,-0.13948292,-0.86064239,-0.52174637,0.3894115,2,True
2,0.24274255,0.0099775927,-0.093386183,-0.31283952,-0.51687114,0.38736001,2,True
2,0.28158555,-0.0075743135,-0.1747021,0.54424897,-0.52145904,0.38135153,2,True
2,0.18214828,-0.010646974,-0.16894574,-0.71645038,-0.51136534,0.37763863,2,True
2,0.1821957,-0.0016884658,-0.089805031,0.090661367,-0.4957566,0.37415471,2,True
2,0.31178044,0.013873623,-0.21470991,0.50614534,-0.48993461,0.36952567,2,True
2,0.25615464,0.03261012,-0.22862313,-0.23428992,-0.48071026,0.35688777,2,True
2,0.078156973,-0.027612708,-0.34615379,-0.82714994,-0.54778977,0.33732334,2,True
2,0.17991522,0.040285843,-0.39925032,-0.2844293,-0.46130695,0.34259035,2,True
2,0.28509055,-0.011054655,-0.17546042,-0.64064673,-0.40135337,0.32593998,2,True
2,0.28495022,-0.017809348,-0.10353921,-0.011077707,-0.39243533,0.32278742,2,True
2,0.1982599,-0.0072360841,-0.11697537,0.68232518,-0.39237574,0.32216045,2,True
2,0.25100692,0.027292221,-0.15904398,-0.1103629,-0.38162108,0.32370113,2,True
2,0.26889811,0.027477206,-0.13197884,0.43523892,-0.37900685,0.31083102,2,True
2,0.14838783,-0.036547994,-0.11049098,0.15078399,-0.37898178,0.29084636,2,True
2,0.073728786,-0.14822575,-0.24110951,-0.53075812,-0.4041011,0.25443898,2,True
2,0.28020794,-0.01113497,-0.179611,-0.43306871,-0.32627802,0.30281057,2,True
2,0.27452047,-0.0078204354,-0.12915842,-0.17970076,-0.31405048,0.30860357,2,True
2,0.24402748,-0.0043812777,-0.13437813,0.48392087,-0.31429356,0.30887771,2,True
2,0.2858303,-0.0046677341,-0.15274602,-0.68916611,-0.30691258,0.30394638,2,True
2,0.23646561,-0.036365249,-0.11386168,0.16861264,-0.30111773,0.2977593,2,True
2,0.2388571,-0.022813178,-0.023382587,0.5626867,-0.29452371,0.30220148,2,True
2,0.29475553,-0.062461304,-0.098216739,0.016062638,-0.29636016,0.3004716,2,True
5,0.21881237,-0.055128494,-0.015740984,0.20491365,-0.65448393,0.30175165,2,False
5,0.28767511,-0.030786823,-0.17259261,0.55213507,-0.61697587,0.31593975,5,True
5,0.28732862,-0.030313825,-0.16753742,0.45870826,-0.62292519,0.32298138,5,True
5,0.27273142,-0.028275581,-0.12707511,-0.40584321,-0.62680985,0.32843315,5,True
5,0.2758409,-0.018403826,-0.10282253,0.19217117,-0.62390253,0.33288086,5,True
5,0.27860714,-0.010041872,-0.088410143,0.2211957,-0.62264847,0.33270223,5,True
5,0.27627058,-0.0072991585,-0.080292541,-0.45067754,-0.6233071,0.32911321,5,True
5,0.27848792,-0.012224534,-0.10117153,-0.46684912,-0.62379513,0.32516201,5,True
5,0.28021898,-0.014917572,-0.1086301,0.18218404,-0.62480536,0.32329303,5,True
5,0.27811098,-0.020942513,-0.11285638,0.65731694,-0.62555038,0.32292256,5,True
5,0.27143024,-0.026177026,-0.11524626,0.49649202,-0.62405426,0.3249667,5,True
5,0.33014802,0.01898283,-0.042531252,-0.51943975,-0.56938854,0.37626005,2,False
5,0.27746452,-0.022945736,-0.14505044,0.26214764,-0.58315842,0.35725718,5,True
5,0.27972876,-0.017344364,-0.11825506,0.12228819,-0.58602913,0.35945647,5,True
5,0.27941259,-0.016093153,-0.10220436,0.6216685,-0.58669142,0.35995071,5,True
5,0.27740299,-0.017215318,-0.11354467,-0.76784627,-0.58652411,0.35952668,5,True
5,0.27792121,-0.016941868,-0.11987997,0.088677844,-0.58728549,0.35973606,5,True
5,0.27704497,-0.016760148,-0.10919185,0.89901794,-0.58867566,0.35978311,5,True
5,0.27295758,-0.022500824,-0.11037456,-0.17924985,-0.58848421,0.36008128,5,True
5,0.27204575,-0.024955862,-0.11448034,-0.72981898,-0.58540111,0.36267361,5,True
5,0.28245689,-0.014282925,-0.1134339,0.60613678,-0.5824122,0.36552681,5,True
5,0.28722297,-0.010646634,-0.10792908,0.27455949,-0.58520424,0.36401725,5,True
5,0.27655316,-0.014799101,-0.099806746,0.57680061,-0.58930206,0.36102147,5,True
4,0.23981797,0.082443951,-0.040169582,-0.10082478,-0.72192418,0.15534453,4,True
4,0.23157481,0.029387192,-0.055042118,-0.60274708,-0.7036629,0.1112038,4,True
4,0.27074746,-0.0043332488,-0.090021685,0.24541976,-0.68518125,0.094250823,4,True
4,0.27160041,-0.01596493,-0.10063981,0.23974636,-0.67719214,0.088705624,4,True
4,0.2689962,-0.012391548,-0.096838815,-0.020458986,-0.67352941,0.087984559,4,True
4,0.27479909,-0.012039553,-0.10255632,0.18705266,-0.66938718,0.086066962,4,True
4,0.27879967,-0.015633084,-0.10664773,0.091658754,-0.66699227,0.083944116,4,True
4,0.27524573,-0.017001233,-0.10770697,-0.63515298,-0.66588552,0.083273994,4,True
4,0.27566806,-0.016603733,-0.1049066,0.33537696,-0.6652932,0.083267401,4,True
4,0.26569797,-0.016850926,-0.090479419,-0.017530596,-0.66330357,0.082871465,4,True
4,0.27097605,-0.01515646,-0.096123623,0.3967439,-0.65667013,0.082374538,4,True
4,0.41364162,-0.15839475,-0.34597805,-0.14876744,-0.68877032,0.12604557,4,True
4,0.24841948,-0.019568651,-0.10836772,-0.50768851,-0.74700867,0.18943553,1,False
4,0.28431213,-0.015594273,-0.085976937,-0.40390841,-0.74515727,0.1901114,5,False
4,0.26632973,-0.014018832,-0.078509357,-0.34451351,-0.73844823,0.18915304,5,False
4,0.26902515,-0.013122593,-0.089644011,-0.47073894,-0.72907031,0.18812828,5,False
4,0.27804665,-0.013597299,-0.11000054,-0.034509137,-0.72409166,0.18666949,5,False
4,0.27542397,-0.0049399286,-0.096703863,0.23585835,-0.72535953,0.18438559,5,False
4,0.27933873,-0.0073438173,-0.10514613,0.12032788,-0.72485091,0.17956588,5,False
4,0.2820615,-0.013704805,-0.1175365,0.26344668,-0.72632019,0.17565286,5,False
4,0.27327371,-0.013628537,-0.096298527,-0.028175202,-0.72912795,0.17412181,5,False
4,0.27540653,-0.019426969,-0.10365438,-0.15396685,-0.72684835,0.17282988,5,False
6,0.28764759,-0.0031577634,-0.15519093,0.21378042,0.57133818,-0.48682121,6,True
6,0.28981652,-0.023625983,-0.093806191,0.3722241,0.58027448,-0.50175681,6,True
6,0.23247724,-0.015840013,-0.099607104,0.412018,0.57376991,-0.49707199,6,True
6,0.28001074,-0.01504451,-0.1141546,0.33917155,0.58389955,-0.49611221,6,True
6,0.2889269,-0.016270962,-0.11194758,-0.39232327,0.58356378,-0.49799114,6,True
6,0.27077035,-0.018885449,-0.10409015,-0.88459071,0.58143133,-0.49861164,6,True
6,0.25720873,-0.018170348,-0.10424073,0.56786377,0.58320589,-0.49722582,6,True
6,0.26881216,-0.017686334,-0.10637874,-0.23756036,0.58771341,-0.49609098,6,True
6,0.28168951,-0.018017943,-0.10599026,-0.31673523,0.58999073,-0.49555803,6,True
6,0.29122454,-0.01583904,-0.1083148,-0.50928978,0.58865269,-0.49532401,6,True
6,0.28651908,-0.016332634,-0.1114194,-0.65417555,0.58536881,-0.49576785,6,True
6,0.25854868,-0.032957509,-0.07983694,0.015123548,0.49952533,-0.57193116,6,True
6,0.3038402,-0.017496054,-0.10323135,0.19484116,0.5006329,-0.56390138,6,True
6,0.30362162,-0.017156999,-0.11169795,0.1668964,0.49398918,-0.56154361,6,True
6,0.28786223,-0.017068863,-0.10900066,-0.27901891,0.48732361,-0.56158783,6,True
6,0.28312886,-0.017412761,-0.10856193,-0.7067904,0.48477535,-0.56158519,6,True
6,0.28062969,-0.018454053,-0.10638058,0.43143009,0.48368075,-0.56152319,6,True
6,0.27683403,-0.016036583,-0.10727545,-0.86409116,0.48292997,-0.56089208,6,True
6,0.27066724,-0.018234096,-0.11050619,0.14896768,0.48342022,-0.56100923,6,True
6,0.27326045,-0.016496129,-0.11469471,0.55319383,0.48487534,-0.56155205,6,True
6,0.27398753,-0.013808599,-0.11041744,-0.61895638,0.48583943,-0.56311636,6,True
6,0.27585859,-0.018573541,-0.10381581,0.55409771,0.48690021,-0.56417333,6,True
6,0.27714817,-0.017613671,-0.10740418,-0.32714314,0.48736432,-0.56300319,6,True
6,0.27456229,-0.015755629,-0.11037294,0.75431376,0.48744397,-0.56287321,6,True
1,0.24860491,-0.086163379,-0.073014829,-0.14005081,-0.6704435,0.30972053,2,False
1,0.21690075,-0.0062597255,-0.077891466,-0.76547434,-0.64255434,0.32761529,1,True
1,0.26222243,-0.015316616,-0.09583238,-0.65411582,-0.64443576,0.32570916,5,False
1,0.29659805,-0.026108897,-0.11375324,0.75839929,-0.65103779,0.32044071,5,False
1,0.24016527,0.014778169,-0.11018469,0.7751791,-0.64901779,0.31953495,1,True
1,0.31286994,-0.014139669,-0.11615801,0.10285142,-0.64971235,0.31774453,1,True
1,0.31649338,-0.042248362,-0.1126406,0.071268796,-0.648784,0.31931394,1,True
1,0.20894174,-0.020536706,-0.083943782,0.3785282,-0.64438174,0.32265912,1,True
1,0.27124829,-0.0060117091,-0.066718752,-0.77538999,-0.63972487,0.32537439,5,False
1,0.35341932,-0.024866761,-0.11141914,-0.26899425,-0.6398449,0.32543689,1,True
1,0.22839376,-0.021200162,-0.1595219,0.65310385,-0.64489945,0.32276604,2,False
1,0.21535112,0.0069834544,-0.1267625,0.37387563,-0.65020918,0.32041996,1,True
1,0.32555586,-0.011187423,-0.10089524,0.25537295,-0.64947319,0.32103279,1,True
1,0.36545296,-0.01988365,-0.10279395,0.36943916,-0.64514047,0.32313062,1,True
1,0.26780915,-0.013846287,-0.11797861,0.06051746,-0.65222071,0.31707673,5,False
1,0.34002771,-0.026012234,-0.10422698,0.05755535,-0.65098298,0.32128185,1,True
1,0.26426913,-0.011202192,-0.097405036,-0.98528096,-0.64656659,0.32329361,5,False
1,0.26580166,-0.016486852,-0.076607139,-0.64176398,-0.65490152,0.31719814,5,False
1,0.25477841,-0.033032031,-0.12829512,0.084267776,-0.65353035,0.31672043,5,False
1,0.22294492,0.0096186354,-0.10969656,-0.25106617,-0.64660418,0.32079738,1,True
1,0.37962251,-0.0066834563,-0.11093909,0.70765308,-0.6516589,0.31771882,1,True
1,0.27911103,-0.033291612,-0.10127494,0.67232704,-0.65836089,0.31275719,5,False
